+---+---------------------+---+---------------------+---------------------+--------------------+-----------------------+---------------------+
| S |          p          | N |         <K>         |         <d>         |       log N        |        log <K>        |   log N / log <K>   |
+---+---------------------+---+---------------------+---------------------+--------------------+-----------------------+---------------------+
| 1 |         0.1         | 5 |         0.0         |         0.0         | 1.6094379124341003 |       undefined       |      undefined      |
| 1 |         0.1         | 6 |         1.0         |  0.5555555555555556 | 1.791759469228055  |          0.0          |      undefined      |
| 1 |         0.1         | 7 |  0.2857142857142857 | 0.16666666666666666 | 1.9459101490553132 |   -1.252762968495368  |  -1.553294755665112 |
| 1 |         0.1         | 8 |         0.75        | 0.33333333333333337 | 2.0794415416798357 |  -0.2876820724517809  |  -7.228262518959627 |
| 1 |         0.1         | 9 |  0.6666666666666666 |         0.5         | 2.1972245773362196 |  -0.40546510810816444 |  -5.419022582702909 |
| 1 |         0.2         | 5 |         0.0         |         0.0         | 1.6094379124341003 |       undefined       |      undefined      |
| 1 |         0.2         | 6 |         1.0         |  0.7777777777777777 | 1.791759469228055  |          0.0          |      undefined      |
| 1 |         0.2         | 7 |  1.1428571428571428 |         0.6         | 1.9459101490553132 |  0.13353139262452257  |   14.5726792090533  |
| 1 |         0.2         | 8 |         1.25        |  0.7111111111111111 | 2.0794415416798357 |  0.22314355131420976  |  9.318851158516168  |
| 1 |         0.2         | 9 |  1.3333333333333333 |  0.8888888888888888 | 2.1972245773362196 |  0.28768207245178085  |  7.637683358612839  |
| 1 | 0.30000000000000004 | 5 |         1.6         |         2.0         | 1.6094379124341003 |  0.47000362924573563  |  3.424309542070845  |
| 1 | 0.30000000000000004 | 6 |  0.6666666666666666 |         0.5         | 1.791759469228055  |  -0.40546510810816444 |  -4.419022582702909 |
| 1 | 0.30000000000000004 | 7 |  1.4285714285714286 |  0.5666666666666667 | 1.9459101490553132 |   0.3566749439387324  |  5.455696235812883  |
| 1 | 0.30000000000000004 | 8 |         3.25        |  1.6071428571428572 | 2.0794415416798357 |   1.1786549963416462  |  1.7642495455702345 |
| 1 | 0.30000000000000004 | 9 |  2.2222222222222223 |  1.0178571428571428 | 2.1972245773362196 |   0.7985076962177716  |  2.751663619203221  |
| 1 |         0.4         | 5 |         1.6         |         2.0         | 1.6094379124341003 |  0.47000362924573563  |  3.424309542070845  |
| 1 |         0.4         | 6 |  1.6666666666666667 |  2.066666666666667  | 1.791759469228055  |   0.5108256237659907  |  3.507575551943847  |
| 1 |         0.4         | 7 |  2.857142857142857  |  1.619047619047619  | 1.9459101490553132 |   1.0498221244986776  |  1.8535617640793627 |
| 1 |         0.4         | 8 |         2.5         |  0.7857142857142857 | 2.0794415416798357 |   0.9162907318741551  |   2.26941239209809  |
| 1 |         0.4         | 9 |  3.3333333333333335 |  1.7222222222222223 | 2.1972245773362196 |   1.2039728043259361  |  1.8249785787863968 |
| 1 |         0.5         | 5 |         2.4         |         1.4         | 1.6094379124341003 |   0.8754687373538999  |  1.8383727982093556 |
| 1 |         0.5         | 6 |         3.0         |  1.4666666666666666 | 1.791759469228055  |   1.0986122886681098  |  1.6309297535714573 |
| 1 |         0.5         | 7 |  2.857142857142857  |  1.619047619047619  | 1.9459101490553132 |   1.0498221244986776  |  1.8535617640793627 |
| 1 |         0.5         | 8 |         3.75        |  1.4642857142857142 | 2.0794415416798357 |   1.3217558399823195  |  1.5732418036508553 |
| 1 |         0.5         | 9 |  2.888888888888889  |  1.9444444444444444 | 2.1972245773362196 |   1.0608719606852626  |  2.0711496379986687 |
| 1 |         0.6         | 5 |         2.4         |         1.4         | 1.6094379124341003 |   0.8754687373538999  |  1.8383727982093556 |
| 1 |         0.6         | 6 |  3.3333333333333335 |  1.3333333333333333 | 1.791759469228055  |   1.2039728043259361  |  1.4882059318866432 |
| 1 |         0.6         | 7 |  3.4285714285714284 |  1.4285714285714286 | 1.9459101490553132 |   1.2321436812926323  |  1.5792883399879745 |
| 1 |         0.6         | 8 |         5.25        |         1.25        | 2.0794415416798357 |   1.6582280766035324  |  1.2540141920278267 |
| 1 |         0.6         | 9 |  4.444444444444445  |  1.4722222222222223 | 2.1972245773362196 |   1.491654876777717   |  1.4730113590904346 |
| 1 |  0.7000000000000001 | 5 |         2.0         |         1.5         | 1.6094379124341003 |   0.6931471805599453  |  2.321928094887362  |
| 1 |  0.7000000000000001 | 6 |  2.6666666666666665 |         1.6         | 1.791759469228055  |   0.9808292530117262  |  1.826780210445695  |
| 1 |  0.7000000000000001 | 7 |  3.142857142857143  |  1.619047619047619  | 1.9459101490553132 |   1.1451323043030026  |  1.6992884942143982 |
| 1 |  0.7000000000000001 | 8 |         5.0         |  1.2857142857142858 | 2.0794415416798357 |   1.6094379124341003  |  1.2920296742201791 |
| 1 |  0.7000000000000001 | 9 |  5.555555555555555  |  1.3055555555555556 | 2.1972245773362196 |   1.7147984280919266  |  1.2813311123576743 |
| 1 |         0.8         | 5 |         3.6         |         1.1         | 1.6094379124341003 |   1.2809338454620642  |  1.2564567000363212 |
| 1 |         0.8         | 6 |         4.0         |         1.2         | 1.791759469228055  |   1.3862943611198906  |  1.292481250360578  |
| 1 |         0.8         | 7 |  4.857142857142857  |  1.1904761904761905 | 1.9459101490553132 |   1.580450375560848   |  1.2312377402958798 |
| 1 |         0.8         | 8 |         5.75        |  1.1785714285714286 | 2.0794415416798357 |   1.749199854809259   |  1.1887958576960822 |
| 1 |         0.8         | 9 |  6.444444444444445  |  1.1944444444444444 | 2.1972245773362196 |    1.8632184332102    |  1.1792630097323316 |
| 1 |         0.9         | 5 |         2.8         |         1.3         | 1.6094379124341003 |   1.0296194171811581  |  1.5631386564565197 |
| 1 |         0.9         | 6 |         4.0         |         1.2         | 1.791759469228055  |   1.3862943611198906  |  1.292481250360578  |
| 1 |         0.9         | 7 |         6.0         |         1.0         | 1.9459101490553132 |   1.791759469228055   |  1.0860331325016919 |
| 1 |         0.9         | 8 |         6.5         |  1.0714285714285714 | 2.0794415416798357 |   1.8718021769015913  |  1.1109301866086894 |
| 1 |         0.9         | 9 |  6.666666666666667  |  1.1666666666666667 | 2.1972245773362196 |   1.8971199848858813  |  1.1581895688418413 |
| 2 |         0.1         | 5 |         0.0         |         0.0         | 1.6094379124341003 |       undefined       |      undefined      |
| 2 |         0.1         | 6 |  0.6666666666666666 |         0.5         | 1.791759469228055  |  -0.40546510810816444 |  -4.419022582702909 |
| 2 |         0.1         | 7 |  0.7142857142857142 |  0.3208333333333333 | 1.9459101490553132 |  -0.33647223662121306 |  -5.783271061516855 |
| 2 |         0.1         | 8 |         0.5         |        0.225        | 2.0794415416798357 |  -0.6931471805599453  |         -3.0        |
| 2 |         0.1         | 9 |  0.5555555555555556 | 0.32916666666666666 | 2.1972245773362196 |   -0.587786664902119  |  -3.738132741922806 |
| 2 |         0.2         | 5 |         1.6         |  0.7083333333333334 | 1.6094379124341003 |  0.47000362924573563  |  3.424309542070845  |
| 2 |         0.2         | 6 |  0.6666666666666666 |  0.4888888888888888 | 1.791759469228055  |  -0.40546510810816444 |  -4.419022582702909 |
| 2 |         0.2         | 7 |  1.2857142857142856 |  0.8083333333333333 | 1.9459101490553132 |   0.251314428280906   |  7.742930488974066  |
| 2 |         0.2         | 8 |        1.375        |  0.7738095238095238 | 2.0794415416798357 |   0.3184537311185346  |  6.529807436628299  |
| 2 |         0.2         | 9 |  1.6666666666666665 |  0.9484126984126984 | 2.1972245773362196 |   0.5108256237659906  |  4.301320206174248  |
| 2 | 0.30000000000000004 | 5 |         1.6         |  1.3833333333333333 | 1.6094379124341003 |  0.47000362924573563  |  3.424309542070845  |
| 2 | 0.30000000000000004 | 6 |  1.3333333333333333 |        1.125        | 1.791759469228055  |  0.28768207245178085  |  6.228262518959629  |
| 2 | 0.30000000000000004 | 7 |         2.0         |  1.0333333333333332 | 1.9459101490553132 |   0.6931471805599453  |  2.807354922057604  |
| 2 | 0.30000000000000004 | 8 |         3.0         |  1.8035714285714284 | 2.0794415416798357 |   1.0986122886681098  |  1.892789260714372  |
| 2 | 0.30000000000000004 | 9 |         2.0         |  0.7718253968253969 | 2.1972245773362196 |   0.6931471805599453  |  3.1699250014423126 |
| 2 |         0.4         | 5 |         0.2         |        0.125        | 1.6094379124341003 |  -1.6094379124341003  |         -1.0        |
